equip_id,equip_slot,equip_name,equip_skill_1_id,equip_skill_1_rank,equip_skill_2_id,equip_skill_2_rank,equip_skill_3_id,equip_skill_3_rank,equip_skill_4_id,equip_skill_4_rank,equip_explain
1,Cook,Double-speed whisk,6,C,2,B,13,A,19,S,The best whisk to make rich foam
2,Cook,Sky-blue piping bag,7,B,25,A,34,S,5,SS,Piping bag of soda-flavored cream
3,Cook,Ladle for cooking,12,B,29,A,19,S,10,SS,Ladle that won't break in a quick stir
4,Cook,Sharp Chinese knife,28,B,8,A,22,S,15,SS,Sharp enough knife
5,Cook,Mini spatula,1,C,17,B,33,A,26,S,Perfect spatula for cute little candy
6,Cap,Chef's hat of victory,17,B,13,A,30,S,24,SS,Cooking contest winner's hat
7,Cap,Blue cap,16,C,21,B,33,A,4,S,Comfortable blue cap
8,Cap,Cool straw hat,11,C,32,B,18,A,9,S,Straw hat to block the summer sun
9,Cap,Hard bulletproof helmet,28,B,3,A,9,S,35,SS,The world's strongest bulletproof cap
10,Cap,Painter's beret,7,B,29,A,23,S,20,SS,Very old beret found in an antique shop
11,Cloth,Black T-shirt,6,C,32,B,29,A,14,S,Basic style black T-shirt
12,Cloth,Neat shirt,32,B,18,A,4,S,24,SS,Simple and neat white shirt
13,Cloth,Pink frill top,11,C,28,B,8,A,34,S,Pink top for the best date
14,Cloth,Checkered shirt,2,B,33,A,14,S,27,SS,Vintage style check shirt
15,Cloth,Pineapple Shirt,32,B,8,A,26,S,31,SS,Special shirts sold only in Hawaii
16,Shoes,Summer slippers,2,B,33,A,23,S,10,SS,Sky blue slippers for summer vacation
17,Shoes,Red High top,16,C,7,B,3,A,30,S,Red sneakers to accentuate the styling
18,Shoes,My own sneakers,12,B,22,A,30,S,35,SS,Sneakers to express own personality
19,Shoes,Interview shoes,21,B,18,A,9,S,5,SS,Neat and stylish brown shoes
20,Shoes,Purple rain boots,1,C,12,B,25,A,23,S,Rain boots in a unique purple color